Año,Alcaldía,Grupo de edad,Población,menores_de_18,mayores_de_18,Categoria de Edad,Categoria de edad
2020,La Magdalena Contreras,70 a 74 años,6846,False,True,Mayores de edad,Mayores de Edad
2020,La Magdalena Contreras,75 a 79 años,4482,False,True,Mayores de edad,Mayores de Edad
2020,La Magdalena Contreras,80 a 84 años,2832,False,True,Mayores de edad,Mayores de Edad
2020,La Magdalena Contreras,85 a 89 años,1661,False,True,Mayores de edad,Mayores de Edad
2020,La Magdalena Contreras,90 a 94 años,731,False,True,Mayores de edad,Mayores de Edad
2020,La Magdalena Contreras,95 a 99 años,239,False,True,Mayores de edad,Mayores de Edad
2020,La Magdalena Contreras,100 años y más,27,False,True,Mayores de edad,Mayores de Edad
2020,La Magdalena Contreras,No especificado,43,False,False,,
2020,Miguel Hidalgo,0 a 4 años,19979,True,False,Menores de Edad,Menores de Edad
2020,Miguel Hidalgo,5 a 9 años,20874,True,False,Menores de Edad,Menores de Edad
2020,Miguel Hidalgo,10 a 14 años,21642,True,False,Menores de Edad,Menores de Edad
2020,Miguel Hidalgo,15 a 19 años,22594,False,False,Menores de Edad,Menores de Edad
2020,Miguel Hidalgo,20 a 24 años,27044,False,False,Mayores de edad,Mayores de Edad
2020,Miguel Hidalgo,25 a 29 años,34671,False,True,Mayores de edad,Mayores de Edad
2020,Miguel Hidalgo,30 a 34 años,38603,False,True,Mayores de edad,Mayores de Edad
2020,Miguel Hidalgo,35 a 39 años,36202,False,True,Mayores de edad,Mayores de Edad
2020,Miguel Hidalgo,40 a 44 años,33148,False,True,Mayores de edad,Mayores de Edad
2020,Miguel Hidalgo,45 a 49 años,31242,False,True,Mayores de edad,Mayores de Edad
2020,Miguel Hidalgo,50 a 54 años,27808,False,True,Mayores de edad,Mayores de Edad
2020,Miguel Hidalgo,55 a 59 años,23626,False,True,Mayores de edad,Mayores de Edad
2020,Miguel Hidalgo,60 a 64 años,20928,False,True,Mayores de edad,Mayores de Edad
2020,Miguel Hidalgo,65 a 69 años,16325,False,True,Mayores de edad,Mayores de Edad
2020,Miguel Hidalgo,70 a 74 años,12683,False,True,Mayores de edad,Mayores de Edad
2020,Miguel Hidalgo,75 a 79 años,8960,False,True,Mayores de edad,Mayores de Edad
2020,Miguel Hidalgo,80 a 84 años,6179,False,True,Mayores de edad,Mayores de Edad
2020,Miguel Hidalgo,85 a 89 años,3646,False,True,Mayores de edad,Mayores de Edad
2020,Miguel Hidalgo,90 a 94 años,1763,False,True,Mayores de edad,Mayores de Edad
2020,Miguel Hidalgo,95 a 99 años,541,False,True,Mayores de edad,Mayores de Edad
2020,Miguel Hidalgo,100 años y más,86,False,True,Mayores de edad,Mayores de Edad
2020,Miguel Hidalgo,No especificado,5926,False,False,,
2020,Milpa Alta,0 a 4 años,10348,True,False,Menores de Edad,Menores de Edad
2020,Milpa Alta,5 a 9 años,12665,True,False,Menores de Edad,Menores de Edad
2020,Milpa Alta,10 a 14 años,13298,True,False,Menores de Edad,Menores de Edad
2020,Milpa Alta,15 a 19 años,13445,False,False,Menores de Edad,Menores de Edad
2020,Milpa Alta,20 a 24 años,13391,False,False,Mayores de edad,Mayores de Edad
2020,Milpa Alta,25 a 29 años,12949,False,True,Mayores de edad,Mayores de Edad
2020,Milpa Alta,30 a 34 años,11690,False,True,Mayores de edad,Mayores de Edad
2020,Milpa Alta,35 a 39 años,10995,False,True,Mayores de edad,Mayores de Edad
2020,Milpa Alta,40 a 44 años,10591,False,True,Mayores de edad,Mayores de Edad
2020,Milpa Alta,45 a 49 años,10215,False,True,Mayores de edad,Mayores de Edad
2020,Milpa Alta,50 a 54 años,9428,False,True,Mayores de edad,Mayores de Edad
2020,Milpa Alta,55 a 59 años,7219,False,True,Mayores de edad,Mayores de Edad
2020,Milpa Alta,60 a 64 años,5696,False,True,Mayores de edad,Mayores de Edad
2020,Milpa Alta,65 a 69 años,4012,False,True,Mayores de edad,Mayores de Edad
2020,Milpa Alta,70 a 74 años,2761,False,True,Mayores de edad,Mayores de Edad
2020,Milpa Alta,75 a 79 años,1830,False,True,Mayores de edad,Mayores de Edad
2020,Milpa Alta,80 a 84 años,1146,False,True,Mayores de edad,Mayores de Edad
2020,Milpa Alta,85 a 89 años,622,False,True,Mayores de edad,Mayores de Edad
2020,Milpa Alta,90 a 94 años,277,False,True,Mayores de edad,Mayores de Edad
2020,Milpa Alta,95 a 99 años,87,False,True,Mayores de edad,Mayores de Edad
2020,Milpa Alta,100 años y más,6,False,True,Mayores de edad,Mayores de Edad
2020,Milpa Alta,No especificado,14,False,False,,
2020,Tláhuac,0 a 4 años,23715,True,False,Menores de Edad,Menores de Edad
2020,Tláhuac,5 a 9 años,29097,True,False,Menores de Edad,Menores de Edad
2020,Tláhuac,10 a 14 años,31239,True,False,Menores de Edad,Menores de Edad
2020,Tláhuac,15 a 19 años,32389,False,False,Menores de Edad,Menores de Edad
2020,Tláhuac,20 a 24 años,33573,False,False,Mayores de edad,Mayores de Edad
2020,Tláhuac,25 a 29 años,33430,False,True,Mayores de edad,Mayores de Edad
2020,Tláhuac,30 a 34 años,30567,False,True,Mayores de edad,Mayores de Edad
2020,Tláhuac,35 a 39 años,28805,False,True,Mayores de edad,Mayores de Edad
2020,Tláhuac,40 a 44 años,27822,False,True,Mayores de edad,Mayores de Edad
2020,Tláhuac,45 a 49 años,28300,False,True,Mayores de edad,Mayores de Edad
2020,Tláhuac,50 a 54 años,26238,False,True,Mayores de edad,Mayores de Edad
2020,Tláhuac,55 a 59 años,20797,False,True,Mayores de edad,Mayores de Edad
2020,Tláhuac,60 a 64 años,16593,False,True,Mayores de edad,Mayores de Edad
2020,Tláhuac,65 a 69 años,11511,False,True,Mayores de edad,Mayores de Edad
2020,Tláhuac,70 a 74 años,7924,False,True,Mayores de edad,Mayores de Edad
