precio,ubicacion,delegacion,colonia,tamanio,latitud,longitud
20921,"Miguel Ángel de Quevedo,  Parque San Andrés, Coyoacán",Coyoacán,Parque San Andrés,20,19.342,-99.14
45000,"Renta Local Dentro DE Centro Comercial Guadalupe INN,  Guadalupe Inn, Alvaro Obregón",Alvaro Obregón,Guadalupe Inn,69,19.354,-99.18
39318,"Calle Lago Alberto ,  Anáhuac I Sección, Miguel Hidalgo",Miguel Hidalgo,Anáhuac I Sección,40,19.439,-99.18
5000,"Av Tlahuac 129,  Santiago Sur, Tláhuac",Tláhuac,Santiago Sur,40,19.297,-99.03
9777,"Manzanillo,  Roma Norte, Cuauhtémoc",Cuauhtémoc,Roma Norte,42,19.41,-99.16
24000,"Calzada Desierto de los Leones 5211,  Tetelpan, Alvaro Obregón",Alvaro Obregón,Tetelpan,70,19.339,-99.23
35000,"Ejercito Nacional ,  Verónica Anzures, Miguel Hidalgo",Miguel Hidalgo,Verónica Anzures,65,19.434,-99.17
6500,"Lago Chapala 67, Local Accc , Colonia  Anahuac, cp. 11320, Alcaldía Miguel Hidalgo,  Anáhuac I Sección, Miguel Hidalgo",Colonia  Anahuac,Local Accc,32,19.444,-99.17
35000,"José Marti,  Escandón II Sección, Miguel Hidalgo",Miguel Hidalgo,Escandón II Sección,55,19.4,-99.17
12900,"Soria 70,  Álamos, Benito Juárez",Benito Juárez,Álamos,15,19.398,-99.14
30000,"Av. Prado Norte,  Lomas de Chapultepec, Miguel Hidalgo",Miguel Hidalgo,Lomas de Chapultepec,60,19.427,-99.21
4000,"AV.UNIVERSIDAD ,  Del Valle Centro, Benito Juárez",Benito Juárez,Del Valle Centro,3,19.37,-99.16
30000,"Prado Norte al 200,  Lomas de Chapultepec, Miguel Hidalgo",Miguel Hidalgo,Lomas de Chapultepec,18,19.427,-99.2
24000,"Xicotencatl,  Del Carmen, Coyoacán",Coyoacán,Del Carmen,501,19.353,-99.15
40000,"Av. Insurgentes Sur,  Juárez, Cuauhtémoc",Cuauhtémoc,Juárez,80,19.427,-99.16
15000,"Insurgentes Sur,  Santa Úrsula Xitla, Tlalpan",Tlalpan,Santa Úrsula Xitla,301,19.282,-99.17
